                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.60581,                0.51019,                 1.0778,                0.92101,                0.88536,                  0.951,                0.74723,                0.85573,                0.52276,                 1.2761,             0.00055006,             0.00055006,             0.00055006
                    104,                0.61277,                0.54007,                   1.08,                0.89806,                0.92936,                 0.9309,                0.73156,                0.88263,                0.54544,                 1.3184,             0.00054456,             0.00054456,             0.00054456
                    105,                0.63577,                0.54792,                 1.0831,                0.94095,                0.89925,                0.94591,                0.73522,                0.89809,                0.58867,                 1.3366,             0.00053906,             0.00053906,             0.00053906
                    106,                0.60757,                0.51984,                 1.0749,                0.94311,                0.92663,                0.95571,                0.73946,                0.88717,                0.52797,                 1.3191,             0.00053356,             0.00053356,             0.00053356
                    107,                0.61641,                0.53973,                  1.076,                0.96198,                0.92116,                0.95671,                0.72442,                0.89305,                0.53115,                 1.2988,             0.00052806,             0.00052806,             0.00052806
                    108,                0.63026,                0.53644,                 1.0915,                0.92239,                0.92508,                0.95309,                 0.7231,                 0.9076,                0.52825,                  1.331,             0.00052256,             0.00052256,             0.00052256
                    109,                0.62266,                 0.5212,                 1.0779,                0.91982,                0.91921,                0.94697,                0.73072,                0.92549,                0.50357,                 1.3469,             0.00051706,             0.00051706,             0.00051706
                    110,                0.60655,                 0.5134,                 1.0889,                0.93585,                0.89665,                0.94037,                0.72714,                 0.9424,                0.56645,                 1.3531,             0.00051156,             0.00051156,             0.00051156
                    111,                0.58328,                0.49934,                 1.0646,                 0.9501,                0.89937,                0.94234,                 0.7356,                0.97897,                0.59818,                 1.3664,             0.00050606,             0.00050606,             0.00050606
                    112,                0.62443,                0.53114,                 1.0859,                0.94153,                0.89446,                0.95012,                0.73512,                 0.9384,                0.55015,                 1.3442,             0.00050056,             0.00050056,             0.00050056
                    113,                0.62998,                0.54571,                 1.0869,                0.93242,                0.90527,                0.95426,                 0.7336,                0.92641,                 0.6157,                 1.3364,             0.00049506,             0.00049506,             0.00049506
                    114,                0.59453,                0.51541,                 1.0666,                 0.8946,                0.90714,                0.95118,                0.74439,                0.90598,                 0.6002,                 1.3131,             0.00048956,             0.00048956,             0.00048956
                    115,                 0.5982,                0.51587,                 1.0697,                0.92641,                0.92235,                0.95741,                0.72827,                0.98073,                 0.5727,                  1.365,             0.00048406,             0.00048406,             0.00048406
